連番,問い合わせID,受付日,受付経路,件名,問い合わせ本文
1,AQ-0701,2026-07-01,フォーム,パスワード再設定,ログイン用パスワードを忘れました。再設定の手順を知りたいです。
2,AQ-0702,2026-07-02,メール,新規申込の相談,新しく利用を始める場合のプランの違いと申込方法を教えてください。
3,AQ-0703,2026-07-03,チャット,請求書の取得,7月分の請求書をどこから取得できますか。
4,AQ-0704,2026-07-04,フォーム,一覧の保存方法,月次一覧を表計算ファイルで保存する操作手順を知りたいです。
5,AQ-0705,2026-07-05,メール,下書きを保存できない,保存ボタンを押すと「処理できません」と表示され、下書きを保存できません。
6,AQ-0706,2026-07-06,チャット,解約方法,今月末で利用をやめたいです。解約画面までの手順を教えてください。
7,AQ-0707,2026-07-07,フォーム,アカウントのロック,パスワードを5回間違え、アカウントがロックされたと表示されました。
8,AQ-0708,2026-07-08,メール,プラン変更日,現在の基本プランから上位プランへ変更したいです。適用日はいつですか。
9,AQ-0709,2026-07-09,チャット,領収書の宛名変更,領収書の宛名を変更する操作手順を知りたいです。
10,AQ-0710,2026-07-10,フォーム,通知設定,お知らせメールを停止する設定場所を教えてください。
11,AQ-0711,2026-07-11,メール,管理画面が閉じる,管理画面を開くとすぐに画面が閉じ、操作を続けられません。
12,AQ-0712,2026-07-12,チャット,解約の適用日,今日解約を申し込んだ場合、いつ利用終了になるか確認したいです。
13,AQ-0713,2026-07-13,フォーム,支払期限とログイン,今日が支払期限ですが、ログインできず請求画面を開けません。支払期限の扱いを確認したいです。
14,AQ-0714,2026-07-14,メール,更新日前の解約,明日が契約更新日です。解約したいのですが、解約画面で「処理できません」と表示されます。
15,AQ-0715,2026-07-15,チャット,プラン変更と料金,上位プランへ変更した場合の月額料金と申込手順を知りたいです。
16,AQ-0716,2026-07-16,フォーム,操作の相談,前と同じようにうまくいきません。どうすればよいですか。
17,AQ-0717,2026-07-17,メール,利用料が二つある,同じ利用料が7月28日に2回カード明細へ表示されています。重複か確認してください。
18,AQ-0707,2026-07-07,フォーム,アカウントのロック,パスワードを5回間違え、アカウントがロックされたと表示されました。
19,AQ-0719,2026-07-19,チャット,登録メール変更,ログインに使う登録メールアドレスを変更する手順を教えてください。
20,AQ-0720,2026-07-20,フォーム,初期設定,利用開始後に最初に行う設定の順番を知りたいです。
21,AQ-0721,2026-07-21,メール,報告画面のエラー,月次報告画面を開くと「読み込みに失敗しました」と表示されます。
22,AQ-0722,2026-07-22,チャット,請求について,
23,AQ-0723,2026-07-23,フォーム,解約後の請求,6月末に解約手続きをしましたが、7月分の請求が表示されています。請求の扱いを確認したいです。
24,AQ-0724,2026-07-24,メール,追加申込の見積り,新しい部署で5人分を追加申込する場合のプランと見積り条件を知りたいです。
25,AQ-0725,2026-07-25,チャット,絞り込み操作,履歴を受付日で絞り込む操作手順を教えてください。
26,AQ-0726,2026-07-26,フォーム,再設定メールが届かない,パスワード再設定を押しましたが、再設定メールが届きません。
27,,2026-07-27,メール,一覧画面が白い,一覧画面が真っ白になり、内容を確認できません。
28,AQ-0728,2026-07-28,チャット,複数端末でエラー,同じ部署の3台の端末で同じエラーが表示され、入力作業を続けられません。
29,AQ-0729,2026-07-29,フォーム,次回更新で解約,次の契約更新日で利用を終了したいです。必要な手続きを教えてください。
30,AQ-0730,2026-07-30,メール,引落日の確認,7月分の利用料が口座から引き落とされる日を確認したいです。
